"intProjectID","intProjectNo","strDescription","strLegal","strFileNo","datStartDate","datComplDate","bolCancelled","curSSAFees","curSSADisbursements","curPrice","curExpToDate","strAgentFirstName","strAgentLastName","strLocation","strProvAbrev","strDeptAbrev","strClientContactFirst","strClientContactLast","strRollNumber","strProjRefNo","strLDU","strPACNo","strSMANo","datReportOfSurplus","strDisposalMethod","strPropertyType","strPurchaserType","strInterestSold"
159,765852,"FOOT OF TRITES RD. - Road Exchange (Paramount)","","9075-S20/29",7/1/1984,,0,.0000,.0000,.0000,.0000,"MONA","LEE","RICHMOND","BC","DFO-SCH","","","","","0","0","766552",7/11/1984,"&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;","Vacant Land","Municipality","Fee Simple"
160,766590,"FOOT OF NO. 1 ROAD/ BAYVIEW - Road Exchange (Gulf)","","9075-S20/28 & 29",7/11/1984,,0,.0000,.0000,.0000,.0000,"MONA","LEE","RICHMOND","BC","DFO-SCH","","","","","0","0","766581",7/11/1984,"&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;","Vacant Land","Municipality","Fee Simple"
161,829111,"FEDERAL BUILDING - 185 BRIDGE ST.","","9075-P18/11",10/2/1988,5/3/1993,0,.0000,.0000,.0000,.0000,"SARAPHINA","WALES","PRINCETON","BC","PWGSC","","","","","","0","0",10/12/1988,"Tender","Improved","Private Sector","Fee Simple"
162,765832,"RADIO BEACON SITE","PID 006-601-545 AND PID 006-604-480","9075-S81",3/29/1989,,0,.0000,.0000,.0000,.0000,"AMELIA","WEATHERBE","SIDNEY ISLAND","BC","TC","","","","","17145","262","766550",10/26/1990,"&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;","&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;","OGD","Fee Simple"
163,829630,"PT BLK X AND PT BLK Y and WATERLOT D.L. 16125","","9075-A27/2",11/14/1979,6/10/1993,1,.0000,.0000,.0000,.0000,"JOE","GORMLEY","AINSWORTH","BC","PWGSC","","","","","0","0","0",11/14/1979,"&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;","Vacant Land","Private Sector","Fee Simple"
164,765833,"COBURG SPIT ROYAL ROADS - TRANSFER OF LAND","D","9075-C17/8",7/13/1987,,1,.0000,.0000,.0000,.0000,"JOE","GORMLEY","COLWOOD","BC","DND","","","","","0","183","766503",7/13/1987,"&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;","Vacant Land","Municipality","Fee Simple"
165,765014,"C.F.B. - QUITCLAIM OF FLIGHTWAY","","9075-C18/26",9/12/1983,2/15/1994,1,.0000,.0000,.0000,.0000,"JOE","GORMLEY","COMOX","BC","DND","","","","","0","0","0",9/12/1983,"&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;","Vacant Land","Private Sector","Easement"
166,765886,"C.F.S. HOLBERG","","9075-H6/5",4/24/1984,,0,.0000,.0000,.0000,.0000,"STEVEN","JUNG","HOLBERG","BC","DND","","","","","0","0","766511",4/10/1990,"Retrocession to Province","Vacant Land","Province","&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;"
167,765853,"LANE ENCROACHMENT - BLOCK 4","","9075-M6/26",11/16/1987,1/23/1999,1,.0000,.0000,.0000,.0000,"DAL","FLEISCHER","MASSET","BC","DND","","","","","0","0","766518",11/16/1987,"&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;","Vacant Land","Municipality","Fee Simple"
168,765854,"0.868 Ha (2.14 ac) PARCEL OF LAND","","9075-N11/9",5/24/1988,3/31/1995,1,.0000,.0000,.0000,.0000,"DAL","FLEISCHER","NANOOSE BAY","BC","DND","","","","","0","0","0",5/24/1988,"&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;","Vacant Land","Private Sector","Fee Simple"
