"intProjectID","datOffer","datClose","intInterestType","strRollNumber","strAcuiredFrom","strPropertyUse","memPropDescription"
1,9/30/1995,,1,"","","",""
2,,7/19/96,1,"","","",""
3,,,1,"","","",""
4,6/7/1996,,1,"","","",""
5,,,1,"","","",""
6,,,1,"","","",""
7,,12/5/96,1,"","","",""
8,6/24/1996,8/15/96,1,"","","",""
9,,,1,"","","",""
10,,,1,"","","",""
11,,,1,"","","",""
12,,,1,"","","",""
13,,,1,"","","",""
14,6/25/1996,,1,"","","",""
15,12/5/1990,,1,"","","",""
16,,11/29/96,1,"","","",""
17,11/18/1994,,1,"","","",""
18,2/2/1996,,1,"","","",""
19,,,1,"","","",""
20,9/5/1996,4/1/97,1,"","","",""
21,,,1,"","","",""
22,10/3/1996,12/20/96,1,"","","",""
23,1/31/1901,1/31/99,1,"","","",""
24,5/4/1994,4/30/97,1,"","","",""
25,5/7/1997,10/30/97,1,"","","",""
26,,,1,"","","",""
27,,,1,"","","",""
28,,,1,"","","",""
29,2/13/1997,5/1/97,1,"","","",""
30,,,1,"","","",""
31,,,1,"","","",""
32,,12/30/98,12,"","","Boat Harbour",""
33,,,4,"","","Vacant Upland","Access to foreshore"
34,,,1,"","","",""
35,,,1,"","","",""
36,,,1,"","","",""
37,3/12/1997,5/1/97,1,"","","",""
38,,,1,"","","",""
39,,,1,"","","",""
40,,3/31/98,1,"","","",""
41,,3/31/98,1,"","","",""
42,,3/31/98,1,"","","",""
43,,3/31/97,1,"","","",""
44,,3/31/97,1,"","","",""
45,,3/31/97,1,"","","",""
46,,3/31/97,1,"","","",""
47,,10/28/97,1,"","","",""
48,2/10/1995,6/8/99,1,"","","",""
49,,,1,"","","",""
50,,,1,"","","",""
51,,,1,"","","",""
52,,,1,"","","",""
53,,,1,"","","",""
54,,,1,"","","",""
55,,,1,"","","",""
56,,,1,"","","",""
57,,3/31/98,1,"","","",""
58,,3/31/98,1,"","","",""
59,,3/31/98,1,"","","",""
60,,,1,"","","",""
61,,,1,"","","",""
62,,9/5/97,1,"","","",""
63,,,1,"","","",""
64,,,1,"","","",""
65,,,1,"","","",""
66,,3/31/98,1,"","","",""
67,,3/31/98,1,"","","",""
68,,3/31/01,1,"","","",""
69,,,12,"","","",""
70,,,1,"","","",""
71,,,1,"","","",""
72,,,1,"","","",""
73,,,1,"","","",""
74,8/11/1997,2/2/98,1,"","","",""
75,,8/31/99,1,"","","",""
76,2/15/1998,3/31/98,1,"","","",""
77,,,1,"","","",""
78,8/13/1998,9/27/00,1,"","","",""
79,,,1,"","","",""
80,,,6,"","","",""
81,,,6,"","","",""
82,,,6,"","","",""
83,,,1,"","","",""
84,,,12,"","","",""
85,,,6,"","","",""
86,,1/26/99,12,"","","",""
87,,,1,"","","",""
88,,,12,"","","",""
89,,,12,"","","",""
90,,,12,"","","Fishing Harbour",""
91,,,12,"","","",""
92,6/26/1998,,1,"","","",""
93,,,1,"","","",""
94,,,1,"","","",""
95,,,1,"","","",""
96,,,1,"","","",""
97,,5/28/99,1,"","","",""
98,,,1,"","","",""
99,,,6,"","","","Map reserve no. 052522 effective July 25, 2000 for breakwater & wharf"
100,,,1,"","","",""
101,,,1,"","","",""
102,,,1,"","","",""
103,,,1,"","","",""
104,,5/15/99,1,"","","",""
105,,,1,"","","",""
106,2/2/1999,3/31/99,1,"","","",""
107,,,1,"","","",""
108,2/15/1999,,1,"","","",""
109,,,1,"","","",""
110,,,1,"","","",""
111,8/16/1999,8/20/99,1,"","","",""
112,,,1,"","","",""
113,,,1,"","","",""
114,,,1,"","","",""
115,,11/22/00,1,"","","",""
116,,4/30/01,1,"","","",""
117,,,1,"","","",""
118,12/8/1900,,1,"","","",""
119,,,4,"","","",""
120,2/9/1901,3/30/01,1,"","","",""
121,,,1,"","","",""
122,,,1,"","","",""
123,,,1,"","","",""
124,,,12,"","","Fishing Harbour",""
125,,,1,"","","",""
126,3/14/1901,5/31/01,1,"","","",""
127,,4/30/01,1,"","","",""
128,,4/30/01,1,"","","",""
129,,4/30/01,1,"","","",""
130,2/1/1902,,1,"","","",""
131,5/29/1901,6/29/01,1,"","","",""
132,,,1,"","","",""
133,,,1,"","","",""
134,,,12,"","","",""
135,,,1,"","","",""
136,,,1,"","","",""
137,,10/31/01,1,"","","",""
138,,,6,"","","Breakwater facility",""
139,,,1,"","","",""
140,,,1,"","","",""
141,,,1,"","","",""
142,,3/7/02,1,"","","",""
143,10/1/1901,3/7/02,1,"","","",""
144,6/11/1901,3/28/02,1,"","","",""
145,,,1,"","","",""
146,,,1,"","","",""
147,,,1,"","","",""
148,,,12,"","","",""
149,,,1,"","","",""
150,,,1,"","","",""
151,,,1,"","","",""
152,,,1,"","","",""
153,,,1,"","","",""
154,,,1,"","","",""
155,6/6/1999,9/15/99,1,"","","",""
156,,,1,"","","",""
157,,10/1/99,1,"","","",""
158,,3/30/01,1,"","","",""
159,6/7/1999,6/29/99,1,"","","",""
160,,,1,"","","",""
547,,,1,"","","",""
550,,,1,"","","",""
551,,,1,"","","",""
