"intProjectID","strRollNumber","strProjRefNo","strLDU","strPACNo","strSMANo","datReportOfSurplus","intDisposalMethod","intPropertyTypeID","intPurchaserTypeID","intInterestSoldID"
161,"","","0","0","766552",7/11/1984,8,5,2,4
162,"","","0","0","766581",7/11/1984,8,5,2,4
163,"","","","0","0",10/12/1988,3,1,4,4
164,"","","17145","262","766550",10/26/1990,8,8,3,4
165,"","","0","0","0",11/14/1979,8,5,4,4
166,"","","0","183","766503",7/13/1987,8,5,2,4
167,"","","0","0","0",9/12/1983,8,5,4,3
168,"","","0","0","766511",4/10/1990,7,5,5,12
169,"","","0","0","766518",11/16/1987,8,5,2,4
170,"","","0","0","0",5/24/1988,8,5,4,4
171,"","","16631","50","766571",8/17/1988,8,5,1,4
172,"","","16630","0","0",8/17/1988,8,5,2,4
173,"","","","0","0",2/21/1989,3,5,4,4
174,"","","0","0","766542",11/28/1985,8,5,2,4
175,"","","","0","0",2/3/1987,8,5,5,12
176,"","","0","0","766554",9/24/1986,8,5,5,4
177,"","","0","0","0",1/31/1985,8,5,2,4
178,"","","","0","0",11/10/1988,8,1,2,4
179,"","","0","0","766566",8/20/1987,8,5,1,4
180,"","","0","0","0",3/17/1987,8,5,2,4
181,"","","","0","0",11/25/1987,7,5,5,12
182,"","","0","0","0",7/27/1989,8,5,2,4
183,"","","","0","0",10/4/1989,7,8,5,12
184,"","","0","0","0",11/16/1989,8,8,5,4
185,"","","","0","0",12/1/1989,3,8,1,2
186,"","","0","0","766546",10/10/1989,7,5,5,12
187,"","","0","0","0",1/16/1990,7,1,5,12
188,"","","0","0","0",2/1/1990,3,1,4,4
189,"","","0","65","0",2/5/1990,8,8,4,2
190,"","","","0","0",3/15/1990,8,5,4,4
191,"","","0","0","766553",5/10/1990,8,5,2,4
192,"","","0","0","0",6/1/1990,8,5,4,6
193,"","","17012","225","847207",8/1/1990,8,8,3,4
194,"","","","0","0",8/1/1990,8,8,4,2
195,"","","0","0","0",8/29/1990,8,5,5,4
196,"","","17970","0","766505",7/5/1990,8,5,6,12
197,"","","18189","0","766540",2/17/1987,7,5,5,12
198,"","","0","166","766530",8/4/1987,7,5,5,12
199,"","","","0","0",,8,1,4,6
200,"","","0","255","766504",11/26/1990,8,5,2,4
201,"","","","0","0",10/16/1990,8,5,2,4
202,"","","0","0","766543",12/3/1990,8,5,2,4
203,"","","","0","0",9/27/1991,7,5,5,3
204,"","","0","0","766541",7/28/1986,7,5,5,12
205,"","","","0","0",3/21/1991,3,5,4,4
206,"","","0","0","0",3/19/1991,1,1,1,1
207,"","","","0","0",,8,8,4,4
208,"","","","0","0",4/24/1991,8,5,2,4
209,"","","0","0","0",5/27/1991,7,5,5,12
210,"","","0","0","0",,1,8,1,4
211,"","","","0","0",5/29/1991,1,1,1,4
212,"","","","0","0",7/26/1991,3,1,4,4
213,"","","","0","0",2/18/1992,8,8,2,4
214,"","","0","2","766547",9/27/1991,8,5,5,12
215,"","","","0","0",10/24/1991,7,5,5,4
216,"","","","0","0",10/24/1991,8,5,5,4
217,"","","0","0","0",2/11/1991,2,8,3,12
218,"","","","0","0",11/28/1991,8,5,4,4
219,"","","0","0","766577",1/13/1982,7,5,5,6
220,"","","0","0","0",1/20/1992,8,5,2,4
221,"","","0","0","0",12/18/1991,3,8,4,4
222,"","","","0","0",3/31/1991,8,8,4,4
223,"","","0","0","0",1/2/1992,8,5,4,4
224,"","","0","250","0",1/13/1992,2,8,3,4
225,"","","","0","0",1/15/1992,8,1,5,6
226,"","","","0","0",1/23/1992,3,1,4,2
227,"","","0","0","766514",2/3/1992,8,5,2,4
228,"","","","0","0",1/29/1992,8,1,5,4
229,"","","0","0","0",2/21/1992,8,1,3,2
230,"","","","0","0",4/3/1992,3,1,4,4
231,"","","","0","0",3/2/1992,3,1,1,1
232,"","","0","0","766569",2/20/1992,8,4,4,2
233,"","","","0","0",3/24/1992,3,1,4,2
234,"","","","0","0",,1,8,1,2
235,"","","0","0","0",4/3/1992,3,1,4,4
236,"","","0","0","0",3/31/1992,8,1,4,2
237,"","","0","280","766584",4/10/1991,8,8,5,4
238,"","","0","0","0",4/22/1992,7,5,5,12
239,"","","","0","0",4/30/1992,3,8,4,4
240,"","","","0","0",4/7/1992,3,1,4,2
241,"","","0","0","0",8/1/1992,8,8,2,4
242,"","","","0","0",,8,5,4,3
243,"","","0","0","0",3/31/1987,1,8,1,4
244,"","","0","0","766531",7/3/1992,3,5,4,4
245,"","","0","0","0",7/9/1992,2,1,2,12
246,"","","","0","0",7/6/1992,8,5,4,3
247,"","","","0","0",9/11/1992,7,8,5,12
248,"","","0","0","766529",8/31/1992,8,5,4,3
249,"","","","0","0",,7,5,5,4
250,"","","0","0","0",10/1/1992,3,8,4,4
251,"","","0","18","766514",1/11/1993,7,5,5,12
252,"","","","0","0",9/14/1992,8,8,2,4
253,"","","","0","0",12/2/1992,8,5,4,12
254,"","","0","0","0",9/28/1993,3,1,4,2
255,"","","17178","309","766544",12/18/1992,8,5,2,4
256,"","","0","0","0",9/15/1992,1,8,1,1
257,"","","","0","0",1/11/1993,8,5,4,3
258,"","","","0","0",2/2/1993,8,5,7,3
259,"","","","0","0",2/22/1993,6,8,1,6
260,"","","","0","0",2/25/1993,2,8,3,4
261,"","","","0","0",2/22/1993,3,8,4,4
262,"","","0","0","0",3/2/1993,8,5,4,4
263,"","","0","0","0",2/12/1993,1,5,1,1
264,"","","0","0","0",2/12/1993,1,5,1,1
265,"","","","0","0",,8,8,5,4
266,"","","0","0","0",7/9/1992,8,5,5,4
267,"","","","0","0",10/15/1990,3,8,4,4
268,"","","0","0","0",7/20/1993,6,8,1,2
269,"","","0","0","0",7/12/1993,8,5,5,4
270,"","","","0","0",6/18/1993,3,8,4,4
271,"","","0","0","0",9/29/1993,3,8,4,4
272,"","","","0","0",6/24/1994,8,5,4,4
273,"","","","0","0",8/19/1992,3,8,4,4
274,"","","","0","0",8/19/1992,3,8,4,4
275,"","","","0","0",9/20/1993,3,8,4,2
276,"","","0","25","766539",11/3/1993,7,8,5,12
277,"","","0","0","766521",10/7/1993,7,8,5,12
278,"","","","0","0",11/12/1993,8,5,4,3
279,"","","","0","0",11/12/1993,7,5,5,12
280,"","","0","0","0",10/22/1993,3,8,4,4
281,"","","0","0","0",10/22/1993,3,8,4,2
282,"","","0","0","0",7/9/1993,3,8,4,4
283,"","","","0","0",,1,1,1,1
284,"","","","0","0",7/24/1992,8,5,2,4
285,"","","0","288","766568",4/19/1993,2,5,3,12
286,"","","","299","766532",1/10/1994,8,5,2,4
287,"","","","0","0",1/5/1994,8,5,2,4
288,"","","","0","0",12/30/1993,8,5,4,4
289,"","","","0","0",,7,5,5,12
290,"","","0","0","0",9/17/1992,3,8,4,2
291,"","","0","0","0",11/3/1993,3,8,4,4
292,"","","0","0","766533",11/3/1993,4,8,4,4
293,"","","0","0","766534",11/3/1993,4,8,4,4
294,"","","","0","0",11/3/1993,3,8,4,4
295,"","","0","0","766535",11/3/1993,4,8,4,4
296,"","","","0","0",11/3/1993,3,8,4,4
297,"","","0","0","766536",11/3/1993,4,8,4,4
298,"","","0","295","766537",11/3/1993,2,8,3,12
299,"","","0","0","0",7/9/1993,8,8,4,4
300,"","","","0","0",12/15/1993,3,8,4,4
301,"","","0","0","0",5/15/1994,8,5,4,3
302,"","","16802","0","848597",4/1/1994,8,5,5,3
303,"","","0","31","766545",3/29/1994,8,5,2,4
304,"","","","0","0",1/10/1994,7,5,5,12
305,"","","0","0","766502",1/1/1994,8,5,5,12
306,"","","","0","0",5/17/1994,8,8,5,2
307,"","","","0","0",4/7/1994,1,8,1,1
308,"","","","0","0",6/8/1994,8,8,7,3
309,"","","0","302","0",12/2/1993,3,8,4,4
310,"","","0","0","766582",7/5/1994,8,8,5,2
311,"","","","0","0",,2,5,4,6
312,"","","0","0","766556",5/9/1994,7,8,5,12
313,"","","","0","0",,1,1,1,1
314,"","","","0","0",8/20/1986,8,5,2,4
315,"","","","0","0",,1,1,1,1
316,"","","","0","0",,1,1,1,1
317,"","","","0","0",,7,8,1,1
318,"","","0","0","766523",5/15/1994,3,5,4,4
319,"","","0","0","0",,8,5,4,6
320,"","","","0","0",6/13/1994,8,8,4,4
321,"","","","0","766579",1/22/1981,7,8,5,12
322,"","","","0","0",7/22/1994,8,8,4,3
323,"","","18706","306","766567",9/13/1994,8,8,5,4
324,"","","0","0","766506",9/22/1994,3,8,4,4
325,"","","0","0","766524",3/20/1995,8,5,5,4
326,"","","","0","0",8/8/1994,3,8,4,4
327,"","","0","0","0",10/19/1994,3,5,4,4
328,"","","0","0","0",10/13/1994,3,8,4,4
329,"","","0","0","0",10/13/1994,3,8,4,4
330,"","","","0","0",10/13/1994,3,8,4,4
331,"","","","0","0",10/4/1994,3,8,4,4
332,"","","","0","0",10/4/1994,8,8,4,4
333,"","","","0","0",7/3/1990,8,8,4,2
334,"","","","0","766564",1/12/1995,8,5,2,4
335,"","","","0","0",11/24/1994,8,8,5,4
336,"","","0","0","766519",1/9/1995,8,5,2,4
337,"","","0","0","0",3/8/1994,8,8,2,3
338,"","","","0","0",1/20/1995,8,5,4,4
339,"","","0","0","766549",2/6/1995,7,8,5,12
340,"","","","318","0",1/5/1995,1,8,1,4
341,"","","0","0","0",,8,5,4,5
342,"","","","0","0",4/22/1994,1,5,1,1
343,"","","0","0","766570",4/7/1995,3,8,4,4
344,"","","19556","0","766578",4/11/1995,7,5,5,4
345,"","","0","0","766509",1/18/1995,8,5,2,4
346,"","","0","0","0",4/10/1995,8,5,4,3
347,"","","0","0","766526",5/3/1995,8,5,4,4
348,"","","0","0","766510",3/23/1995,3,8,4,4
349,"","","17577","49","766525",5/12/1995,8,5,2,4
350,"","","0","322","766583",6/6/1995,4,8,4,4
351,"","","17601","328","766818",11/8/1995,4,8,4,4
352,"","","0","0","766548",,7,8,5,12
353,"","","0","0","766555",1/9/1996,8,5,2,4
354,"","","18635","327","766515",11/29/1995,3,8,4,4
355,"","","0","0","766565",12/13/1995,7,5,5,12
356,"","","0","0","766508",12/11/1995,2,8,3,2
357,"","","0","323","766580",6/13/1995,3,8,4,4
358,"","","0","324","766572",7/20/1995,3,8,4,4
359,"","","58624","330","766342",1/31/1996,4,8,4,4
360,"","","0","0","766341",1/31/1996,1,5,1,4
361,"","","0","332","766344",1/31/1996,2,8,3,4
362,"","","58623","329","766345",1/31/1996,4,8,4,4
363,"","","0","0","766507",11/22/1995,2,8,4,4
364,"","","19266","0","766538",,8,8,2,4
365,"","","18914","334","766343",2/16/1996,4,8,2,4
366,"","","17023","333","766340",2/22/1996,3,8,4,4
367,"","","","0","0",2/11/1991,2,5,3,4
368,"","","","0","0",2/11/1991,2,5,3,4
369,"","","0","0","766557",2/11/1991,2,5,3,4
370,"","","0","0","766560",2/11/1991,2,5,3,4
371,"","","0","0","766561",2/11/1991,2,5,3,4
372,"","","0","0","766562",2/11/1991,1,1,1,1
373,"","","0","335","766347",3/19/1996,3,8,4,4
374,"","","0","0","766441",3/25/1996,8,5,4,3
375,"","","0","0","766439",3/11/1996,8,5,2,4
376,"","","0","0","0",,8,5,5,4
377,"","","36308","0","766636",6/13/1996,3,8,4,2
378,"","","32037","338","766826",7/19/1996,8,8,4,4
379,"","","0","43","766624",7/7/1995,3,8,4,2
380,"","","18519","337","766626",6/5/1996,3,8,4,4
381,"","","0","0","766645",,7,8,5,12
382,"","","0","339","766647",10/19/1993,4,5,4,4
383,"","","17577","45","0",7/22/1996,8,8,5,4
384,"","","","340","766658",9/9/1996,1,1,1,1
385,"","","56654","340","766656",9/9/1996,1,5,1,1
386,"","","0","340","766654",9/1/1996,1,5,1,1
387,"","","0","0","766520",3/5/1990,2,8,3,12
388,"","","0","65","766520",3/5/1990,3,8,4,4
389,"","","0","65","766520",3/5/1990,8,8,4,4
390,"","","0","25","766668",11/3/1996,8,8,5,4
391,"","","0","0","0",,1,1,1,1
392,"","","19838","110","766689",5/22/1985,8,5,2,4
393,"","","0","316","766693",5/1/1996,8,8,1,4
394,"","","19394","-56","766710",6/21/1996,2,5,3,12
395,"","","68104","0","766708",8/20/1996,3,8,4,2
396,"","","0","0","766706",8/27/1996,7,8,5,4
397,"","","16749","0","766702",9/25/1996,1,1,1,4
398,"","","16061","342","766712",9/20/1996,3,8,4,4
399,"","","18704","0","766704",,1,1,1,4
400,"","","0","0","766722",11/15/1996,8,1,4,3
401,"","","19004","361","766734",9/17/1997,2,8,1,4
402,"","","0","0","766760",10/10/1989,7,1,1,1
403,"","","0","0","766957",2/21/1997,4,5,4,4
404,"","","17130","0","766773",2/21/1997,1,5,1,1
405,"","","19754","349","766775",1/13/1997,4,8,4,4
406,"","","19706","353","766832",3/1/1997,4,8,4,4
407,"","","19706","352","766834",3/1/1997,4,8,4,4
408,"","","17725","0","766842",6/9/1997,1,1,1,1
409,"","","22125","0","766840",6/9/1997,4,8,4,4
410,"","","17723","0","766838",6/9/1997,4,8,4,4
411,"","","22125","0","766836",6/9/1997,4,8,4,4
412,"","","18773","351","766846",6/9/1997,8,8,2,4
413,"","","16188","350","766885",10/25/1979,8,8,5,4
414,"","","22127","0","766862",7/31/1997,4,8,4,4
415,"","","17765","0","766866",,8,5,2,4
416,"","","0","0","766889",10/23/1997,3,8,4,4
417,"","","0","0","766888",10/31/1997,3,8,4,4
418,"","","0","0","766800",,3,8,4,2
419,"","","0","0","766798",,8,8,4,2
420,"","","36406","359","766907",11/17/1997,8,8,4,4
421,"","","36402","360","766905",10/31/1997,8,5,4,4
422,"","","36402","360","766905",10/31/1997,8,5,4,4
423,"","","0","0","766908",,3,8,4,2
424,"","","36406","0","766937",,8,8,4,4
425,"","","16156","0","766939",,3,8,2,4
