"intAgent","intProjectID","intProjectNo","intProvID","strDescription","strLegal","intClientDept","intSecondDept","strFileNo","datStartDate","datComplDate","bolCancelled","curSSAFees","curSSADisbursements","intProjectType","intClientContactID","intLocationID","curPrice","curExpToDate"
13,1,766229,59,"ACQUISITION OF A LOT ON HOLLYBURN MOUNTAIN FOR INDUST. CAN.","LOT 2, BLK B, DL 1123, PLAN 2486",29,0,"5400-W5/21",9/27/1995,7/24/1996,0,.0000,.0000,1,1,285,85000.0000,.0000
13,2,766280,59,"ACQUISITION OF LOT FOR HOUSE","LOTS 5-10 AND LOT 12, BLK 6, DL 11, CASSIAR DIST, PLAN 975",15,0,"5400-T15/8",3/4/1996,1/3/1997,0,.0000,.0000,1,1,240,17500.0000,.0000
13,3,834180,59,"ACQUISITION OF YOHO POWER LTD.","",13,0,"5400-F4/8",6/2/1995,10/22/1997,0,.0000,.0000,1,1,74,.0000,.0000
13,4,699306,59,"ACQ. OF LAND FROM PROVINCE FOR ADDITION TO INDIAN RESERVE","",22,0,"5400-S55/5",11/3/1993,4/10/1996,0,.0000,.0000,1,1,220,.0000,.0000
13,5,766486,59,"HOUSE OR LOT","LOT 1, BLOCK 37 PLAN 1294 CASSIAR DIST.",15,0,"5400-A9/8",4/1/1996,9/30/1999,0,.0000,.0000,1,1,16,32000.0000,.0000
30,6,766352,59,"LAND EXCHANGE BETWEEN TRANSPORT AND MACMILLAN BLOEDEL","1.44 HA, PLAN 892 R - RW 1055 - RESTRICTIVE EASEMENT",23,0,"9075-N2/73",4/10/1996,12/4/1996,0,.0000,.0000,1,1,140,.0000,.0000
30,7,766411,59,"BC TEL LICENSE TO OCCUPY CROWN LAND-FEDERAL BLDG KELOWNA","LOTS 7-12,BLOCK 16,PLAN 462,DL 139,ODYD",14,0,"9075-K3/86",4/12/1996,12/5/1996,0,.0000,.0000,1,1,113,500.0000,.0000
13,8,766487,59,"ACQUIRE A LOT ADJACENT TO RCMP STATION","",15,0,"5400-A21/7",4/1/1996,7/24/1996,0,.0000,.0000,1,1,13,11000.0000,.0000
30,9,0,59,"ADDITION TO RESERVE - COWICHAN IR#1","SEC 17, RG2, CD EXC. PCL A AND PCL B EXC. PLANS 8446 & VIP59678",22,0,"5400-D6/25",12/10/1995,4/19/1996,0,.0000,.0000,1,1,62,.0000,.0000
28,10,0,59,"R/W FOR LORAN SITE - PREVIOUS PERMIT - WANT SEC 12 RESERVE","",24,0,"5505-4-P11/504",7/20/1994,4/19/1996,0,.0000,.0000,1,1,179,.0000,.0000
