"intStatusID","intProjectID","memStatus","datUpdate"
1,122,"Just got file Jan. 30, 2001 ","1/30/2001"
5,1,"Unitel registered.  Property needs to be transferred.   Rest. Cov. not registerable.  Ind. Can. advised.    ","5/31/1996"
6,1,"Unitel not registered, only applied.    ","6/12/1996"
7,1,"Completed.  Tom Batts called.","7/24/1996"
11,2,"TIS sent to  DOJ.  Duplicate titles out.    ","6/6/1996"
12,2,"Notice from Justice acquisition is  complete.    ","7/24/1996"
13,2,"Notice from Justice acquisition is  complete.  File to CR. ","1/3/1997"
15,3,"Talking with Parks to exchange houses.  ","4/25/1997"
16,3,"Finalizing agreement with Yoho, B.C.  Hydro, Field and Parks.    ","4/10/1996"
21,4,"SSA has been sent to Gary Semenoff for signature  - David Crosby of Band will contact me when they  issue the cheque   -letter has been written to BC Lands requesting  road clause be deleted   -SSA signed and funds in place      ","10/23/1996"
22,4,"Require new SSA for acq. in 1996.    ","4/29/1998"
23,4,"Project completed. ","4/29/1998"
29,5,"Purchasing a lot from the Prov.   Waiting for application.    ","7/24/1996"
30,5,"Waiting for confirmation in writing  that Lands will sell.    ","2/24/1997"
31,5,"Quote rec'd from surveyor.  Letter and  SSA to RCMP.    ","4/25/1997"
32,5,"Waiting for OIC from Province.    ","10/22/1998"
33,5,"Waiting for OIC from Province..   ","4/16/1999"
34,5,"OIC received ","8/16/1999"
35,6,"PROJECT COMPLETE PROJECT COMPLETE ","12/30/1899"
37,7,"BC Tel no  longer interested in this agreement- project  closed ","12/5/1996"
38,8,"Offer received.  Waiting for delegation from RCMP.    ","6/25/1996"
43,8,"Check requisitioned from Louise.    ","7/24/1996"
44,8,"Check requisitioned from Louise.s    ","2/24/1997"
45,8,"Check requisitioned from Louise.","1/23/1998"
46,9,"DIAND request to acquire a parcel of land for Cowichan band as a  future extension to their reserve  -band has filed a specific claim for these lands (which were  pre-empted in 1861 by the RC church) approximately 92 acres  -the Church has agreed to retur","5/26/1996"
50,9,"letter sent to John Gailus requesting reimbursement for  our costs  PROJECT CANCELLED    ","5/27/1996"
51,9,"Project Canelled","4/29/1998"
52,10,"Application to Prov.  ","5/17/1995"
54,10,"File assigned over to Wayne McLaughlin  while Amelia oassignment to SCH.  Contact needs  to be made to the Province re status. ","5/8/1997"
58,11,"Letter to B. Dane/H. Gill 97-09-18  with TAC application for approval.    ","10/17/1997"
59,11,"Letter to B. Dane/H. Gill 97-09-18  with TAC application for approval. SSA signed;  need TAC approval from SCH.    ","11/17/1997"
60,11,"Letter to B. Dane/H. Gill 97-09-18  with TAC application for approval. SSA signed;  need TAC approval from SCH before forwarding to  Env & Lands.    ","1/6/1998"
61,11,"Letter to B. Dane/H. Gill 97-09-18  with TAC application for approval. SSA signed;  need TAC approval from SCH before forwarding to  Env & Lands    ","1/21/1998"
62,11,"SSA sent with workplan 98-09-09 for  signing.  Awaiting for SCH to approve TAC  application before forwarding to BC Lands.    ","9/8/1998"
63,11,"TAC sent to Province 98-09-30.    ","9/30/1998"
64,11,"Follow up letter sent to Province on  ","12/16/1998"
65,11,"Reply from BC Lands that they are no  longer processing TACS forwarded to H. Gill on  99-01-04.    ","12/16/1999"
66,11,"Reply from BC Lands that they are no  longer processing TACS. Forwarded to H. Gill on  99-01-04.    ","1/19/1999"
67,11,"Reply from BC Lands that they are no  longer processing TACS. Forwarded to H. Gill on  99-01-04.  Followup with Province in March 99.     ","1/28/1999"
68,11,"Forwarded followup letter to Max Nock   on 99-03-03.    ","3/3/1999"
69,11,"Completed workplan for 1999/2000 on  ","4/30/1999"
70,11,"TAC applic. forwarded for 4.77 ha in  98/99.  Province not processing until 2002. ","4/30/1999"
71,12,"right of way documents sent to Curtis  Grad APM at Nanaimo- Sheila Fox of BC Hydro  notified  PROJECT CLOSED  ","12/9/1996"
73,13,"Plans have been executed and returned to Township of  Langley  ","7/24/1997"
74,13,"Revenue Canada locating Duplicate Certificate of Title  for Parcel A    ","9/9/1997"
75,13,"Search on at Revenue Canada HQ for Duplicate C of T    ","9/30/1997"
76,13,"C of T not found - Stat Dec being sent to Registrar    ","5/1/1998"
77,13,"provisional title granted-Langley registering plans at LTO    ","7/14/1998"
78,13,"Langley amending by-law by order of registrar at LTO    ","1/26/1999"
79,13,"Plans at LTO being registered    ","4/14/1999"
80,13,"Project complete ","5/7/1999"
